customer_id,age,tenure_months,monthly_charges,contract_type,internet_service,tech_support,online_security,payment_method,customer_service_calls,churn
2032,64,17,116.57,Month-to-month,DSL,No,No,Credit card,3,1
4661,37,26,136.77,Month-to-month,Fiber optic,No,No,Electronic check,4,1
3596,31,46,142.46,Month-to-month,DSL,Yes,No,Bank transfer,2,0
3396,32,31,106.02,Month-to-month,Fiber optic,No,Yes,Credit card,3,1
3404,29,63,149.96,One year,DSL,No,Yes,Credit card,3,1
2562,20,23,86.55,Month-to-month,No,No,Yes,Electronic check,1,1
1649,59,8,128.84,Month-to-month,Fiber optic,No,Yes,Credit card,1,1
617,41,58,74.68,Month-to-month,No,No,Yes,Bank transfer,0,1
3152,65,50,82.13,One year,Fiber optic,No,Yes,Electronic check,1,1
1191,23,62,70.84,Two year,Fiber optic,No,No,Credit card,4,0
3705,37,20,91.99,Month-to-month,Fiber optic,Yes,Yes,Electronic check,0,1
3223,63,2,82.72,One year,Fiber optic,No,Yes,Credit card,2,1
2670,50,56,121.93,Month-to-month,Fiber optic,Yes,Yes,Electronic check,2,0
2668,31,54,94.15,Month-to-month,Fiber optic,No,No,Credit card,2,1
756,48,25,53.67,Month-to-month,DSL,Yes,No,Credit card,2,0
407,64,11,98.39,One year,DSL,No,No,Electronic check,1,1
1278,59,25,29.41,Month-to-month,No,No,No,Electronic check,0,1
103,42,27,61.55,One year,Fiber optic,No,No,Electronic check,0,1
3926,23,57,48.01,One year,DSL,No,No,Credit card,4,1
4843,60,57,144.61,One year,No,No,No,Bank transfer,2,0
4498,25,52,78.93,One year,Fiber optic,No,No,Electronic check,3,1
2449,68,44,36.2,One year,No,Yes,Yes,Credit card,1,1
1144,18,21,44.45,One year,Fiber optic,No,Yes,Electronic check,0,1
1072,21,39,32.7,Month-to-month,No,No,No,Credit card,2,1
2381,41,18,77.85,Two year,No,Yes,Yes,Credit card,2,0
535,27,57,60.79,Month-to-month,Fiber optic,No,Yes,Electronic check,0,0
1562,34,45,125.46,Month-to-month,DSL,No,No,Bank transfer,1,1
3022,39,14,76.43,Month-to-month,Fiber optic,No,Yes,Electronic check,1,1
1122,54,12,43.07,Month-to-month,No,Yes,No,Credit card,2,1
3268,28,2,128.32,One year,Fiber optic,Yes,Yes,Electronic check,0,1
3475,51,43,111.36,Month-to-month,Fiber optic,No,Yes,Credit card,2,1
4134,19,29,48.38,Month-to-month,DSL,No,No,Bank transfer,2,1
3663,21,62,23.23,One year,DSL,Yes,Yes,Bank transfer,0,0
3096,33,18,136.26,Month-to-month,Fiber optic,Yes,Yes,Electronic check,2,1
4307,62,27,134.5,One year,Fiber optic,No,Yes,Bank transfer,4,1
989,31,28,90.37,Month-to-month,Fiber optic,Yes,Yes,Credit card,2,1
91,62,5,62.46,One year,DSL,No,Yes,Bank transfer,2,0
3712,25,53,68.99,Month-to-month,DSL,Yes,Yes,Electronic check,0,1
1500,35,8,23.9,Month-to-month,DSL,No,Yes,Electronic check,3,0
4130,62,68,48.57,Month-to-month,No,Yes,No,Credit card,0,0
114,25,32,103.5,One year,No,No,No,Credit card,2,1
3411,44,9,72.46,One year,Fiber optic,Yes,Yes,Credit card,2,1
4847,48,55,106.25,Two year,Fiber optic,No,No,Credit card,3,0
2677,19,17,145.45,Two year,Fiber optic,Yes,No,Electronic check,5,1
3809,23,21,123.9,Month-to-month,DSL,No,No,Electronic check,1,0
487,43,71,51.93,Month-to-month,Fiber optic,Yes,No,Electronic check,0,1
3075,63,43,66.49,Month-to-month,Fiber optic,No,No,Bank transfer,0,1
4981,39,13,21.65,One year,Fiber optic,No,No,Credit card,3,1
2869,30,38,141.94,One year,Fiber optic,No,Yes,Credit card,0,1
3522,40,26,63.52,Month-to-month,Fiber optic,Yes,No,Credit card,2,1
307,33,38,122.73,Two year,Fiber optic,Yes,No,Credit card,2,1
3922,59,40,109.23,Month-to-month,Fiber optic,No,No,Credit card,2,1
3301,50,53,96.36,One year,No,No,No,Electronic check,2,0
3040,30,9,61.83,Month-to-month,No,No,No,Electronic check,3,1
1309,43,30,82.64,Month-to-month,Fiber optic,Yes,Yes,Credit card,2,1
4737,64,50,47.81,Month-to-month,No,No,No,Bank transfer,0,1
4300,26,20,28.19,One year,No,Yes,Yes,Bank transfer,1,1
2255,54,31,122.03,Two year,No,No,No,Credit card,2,0
832,22,69,49.49,Two year,Fiber optic,No,No,Credit card,3,0
4454,60,69,61.2,Month-to-month,Fiber optic,Yes,Yes,Credit card,4,1
983,40,17,108.41,Month-to-month,Fiber optic,Yes,No,Credit card,0,1
2708,47,34,72.38,One year,Fiber optic,No,No,Credit card,1,0
610,52,20,43.56,Month-to-month,Fiber optic,No,Yes,Credit card,4,1
3696,46,37,133.65,One year,Fiber optic,No,No,Bank transfer,1,1
1336,60,71,77.58,Month-to-month,Fiber optic,No,No,Credit card,0,1
4286,31,25,124.16,Month-to-month,Fiber optic,No,Yes,Credit card,0,0
4764,38,31,113.56,Month-to-month,Fiber optic,No,No,Electronic check,1,1
3624,22,6,31.18,One year,Fiber optic,No,No,Bank transfer,1,1
1951,69,70,84.39,One year,No,Yes,Yes,Bank transfer,3,0
4228,44,63,48.76,One year,Fiber optic,No,Yes,Credit card,1,1
1193,24,40,31.68,Month-to-month,No,No,Yes,Credit card,3,1
2824,22,5,98.82,Month-to-month,Fiber optic,No,No,Electronic check,0,1
2117,28,26,54.13,Month-to-month,DSL,No,No,Bank transfer,0,1
4463,58,14,78.36,Two year,Fiber optic,No,No,Bank transfer,2,1
4689,46,71,81.5,One year,DSL,Yes,Yes,Electronic check,2,0
2248,37,42,54.39,One year,DSL,No,No,Credit card,1,0
4758,34,27,101.34,Month-to-month,Fiber optic,No,No,Bank transfer,3,0
2016,26,60,29.4,Month-to-month,DSL,No,Yes,Bank transfer,2,1
1267,64,46,129.95,Month-to-month,DSL,No,Yes,Bank transfer,1,1
3457,52,10,96.86,Month-to-month,Fiber optic,No,No,Credit card,4,1
864,29,61,69.39,Two year,Fiber optic,No,No,Electronic check,1,1
4708,24,48,89.56,Month-to-month,Fiber optic,Yes,No,Electronic check,1,1
3807,20,49,55.6,Month-to-month,No,No,No,Bank transfer,0,1
3122,34,33,51.89,Month-to-month,Fiber optic,No,Yes,Bank transfer,2,1
894,55,8,73.81,Month-to-month,Fiber optic,No,No,Bank transfer,0,1
1579,56,20,71.08,One year,No,Yes,Yes,Bank transfer,2,0
2932,22,50,26.5,Month-to-month,Fiber optic,No,No,Electronic check,0,1
2969,48,50,104.1,Month-to-month,Fiber optic,Yes,No,Bank transfer,1,1
3370,59,50,29.97,Month-to-month,Fiber optic,No,Yes,Bank transfer,2,1
4857,31,32,73.46,Month-to-month,Fiber optic,No,Yes,Credit card,3,1
4502,61,44,147.82,Two year,DSL,No,No,Credit card,3,1
3683,23,25,54.72,Month-to-month,DSL,No,No,Electronic check,1,0
3204,54,2,22.0,Month-to-month,Fiber optic,Yes,Yes,Credit card,0,1
3751,29,33,79.55,Month-to-month,Fiber optic,No,Yes,Credit card,4,1
4565,53,64,34.44,One year,Fiber optic,No,Yes,Electronic check,1,0
842,38,70,63.32,Month-to-month,DSL,No,Yes,Electronic check,5,0
3171,64,23,57.07,Month-to-month,DSL,Yes,Yes,Electronic check,1,1
3326,51,60,100.88,Month-to-month,Fiber optic,No,Yes,Credit card,1,1
1297,53,28,51.45,Month-to-month,No,No,Yes,Electronic check,0,1
4584,61,45,80.26,Two year,Fiber optic,No,Yes,Electronic check,1,0
4604,52,3,52.72,Month-to-month,Fiber optic,No,No,Bank transfer,2,1
4782,64,37,34.64,Month-to-month,Fiber optic,No,Yes,Bank transfer,5,1
1684,47,59,115.79,Month-to-month,Fiber optic,Yes,No,Credit card,3,1
2353,26,58,128.02,Month-to-month,No,Yes,No,Electronic check,4,1
4139,33,21,143.19,Month-to-month,DSL,No,Yes,Credit card,2,1
2601,25,14,121.91,One year,No,Yes,No,Electronic check,3,1
4439,59,63,70.92,Month-to-month,DSL,Yes,No,Bank transfer,3,0
117,50,36,121.12,One year,No,No,Yes,Credit card,0,1
2323,27,40,138.4,Month-to-month,Fiber optic,Yes,Yes,Credit card,1,1
1413,50,42,99.2,One year,Fiber optic,No,Yes,Electronic check,1,0
1168,25,69,75.46,Month-to-month,No,No,Yes,Credit card,2,1
566,29,59,59.68,Month-to-month,DSL,Yes,Yes,Credit card,1,1
4000,38,61,75.11,Month-to-month,No,No,No,Electronic check,3,0
1934,28,71,33.77,Month-to-month,No,No,No,Electronic check,2,0
1921,53,61,140.35,Month-to-month,No,No,Yes,Electronic check,0,1
3867,24,25,29.46,One year,Fiber optic,No,Yes,Credit card,2,1
1066,48,66,138.43,Two year,DSL,No,No,Bank transfer,4,0
4301,26,35,137.39,Two year,Fiber optic,No,Yes,Credit card,2,1
4848,21,45,133.27,One year,DSL,No,No,Credit card,1,1
598,28,31,68.61,Month-to-month,Fiber optic,No,Yes,Bank transfer,2,1
34,45,43,111.71,Month-to-month,Fiber optic,No,Yes,Bank transfer,2,1
1167,57,59,106.34,One year,No,No,No,Credit card,1,1
3686,35,5,99.26,Month-to-month,DSL,No,No,Electronic check,1,1
4806,32,2,131.14,One year,No,No,No,Bank transfer,2,1
3198,52,69,88.46,One year,No,Yes,Yes,Bank transfer,3,0
239,61,64,142.82,Month-to-month,DSL,Yes,No,Electronic check,1,1
2014,37,13,96.29,Month-to-month,Fiber optic,No,Yes,Electronic check,0,1
1339,45,35,125.36,Month-to-month,No,Yes,No,Bank transfer,2,0
3513,57,53,41.72,Month-to-month,No,No,Yes,Bank transfer,5,1
7,38,6,106.06,Month-to-month,Fiber optic,No,No,Bank transfer,8,1
3104,21,8,108.32,Month-to-month,Fiber optic,No,Yes,Credit card,2,1
2417,23,49,82.95,Two year,Fiber optic,No,Yes,Electronic check,2,0
1835,33,32,21.54,Two year,Fiber optic,Yes,No,Electronic check,1,1
72,59,37,116.77,Month-to-month,Fiber optic,Yes,Yes,Credit card,2,1
4532,61,24,91.22,Month-to-month,Fiber optic,Yes,No,Electronic check,2,1
3692,25,38,133.91,Two year,DSL,No,Yes,Credit card,5,1
3628,20,57,110.15,Two year,DSL,No,Yes,Electronic check,0,0
4335,64,62,83.78,Month-to-month,Fiber optic,Yes,Yes,Credit card,1,1
2330,64,11,31.56,One year,DSL,No,No,Bank transfer,6,1
1400,67,43,132.31,Two year,No,No,No,Bank transfer,1,0
1641,46,5,114.7,Month-to-month,No,Yes,No,Bank transfer,1,1
3901,22,29,136.48,Two year,No,No,No,Bank transfer,1,1
4356,41,62,146.73,Month-to-month,DSL,Yes,Yes,Electronic check,1,1
4309,62,40,93.25,One year,Fiber optic,Yes,No,Credit card,0,0
4015,65,24,73.83,Month-to-month,Fiber optic,Yes,Yes,Credit card,2,0
3439,47,8,58.99,Month-to-month,No,No,Yes,Electronic check,3,1
499,62,72,78.63,Month-to-month,No,No,No,Electronic check,1,1
1365,62,22,115.2,Two year,Fiber optic,No,Yes,Electronic check,0,0
1999,24,51,63.44,Month-to-month,No,Yes,Yes,Bank transfer,0,0
4715,39,69,147.62,One year,No,No,No,Bank transfer,1,1
2796,33,35,93.53,Month-to-month,DSL,No,No,Electronic check,3,0
1471,27,60,33.49,Two year,DSL,Yes,No,Electronic check,2,1
1809,35,69,30.17,Month-to-month,No,Yes,No,Bank transfer,1,0
2012,34,36,85.62,Month-to-month,DSL,No,No,Bank transfer,1,0
1445,35,67,52.78,Month-to-month,Fiber optic,Yes,No,Credit card,0,1
3796,19,18,42.09,One year,Fiber optic,No,Yes,Bank transfer,3,1
1448,64,47,81.95,Month-to-month,Fiber optic,No,Yes,Electronic check,5,1
3304,51,33,26.97,Month-to-month,DSL,Yes,No,Credit card,4,1
2352,23,69,108.38,Month-to-month,Fiber optic,No,Yes,Bank transfer,1,0
241,49,3,64.45,Month-to-month,DSL,No,Yes,Bank transfer,0,1
228,66,8,62.18,Month-to-month,DSL,No,No,Electronic check,0,1
2200,31,11,109.44,Month-to-month,Fiber optic,No,No,Bank transfer,1,1
3054,54,46,81.61,Month-to-month,No,Yes,Yes,Electronic check,0,0
2194,65,19,102.92,Month-to-month,Fiber optic,No,No,Bank transfer,2,1
2730,19,70,82.43,Month-to-month,DSL,No,No,Credit card,0,1
4260,41,65,34.92,Two year,DSL,No,No,Bank transfer,2,1
2246,29,27,87.26,Month-to-month,Fiber optic,Yes,Yes,Bank transfer,3,1
170,60,29,144.04,Month-to-month,Fiber optic,Yes,Yes,Bank transfer,2,0
4958,51,26,105.14,Month-to-month,No,Yes,Yes,Bank transfer,1,0
4359,42,46,111.23,One year,Fiber optic,Yes,Yes,Electronic check,4,0
3688,29,28,101.61,Month-to-month,Fiber optic,No,No,Credit card,1,1
4209,49,43,71.91,One year,Fiber optic,No,Yes,Credit card,3,1
4311,51,44,89.16,One year,DSL,No,No,Bank transfer,1,0
1890,27,62,58.53,Month-to-month,Fiber optic,Yes,No,Electronic check,3,1
3413,60,72,92.42,Month-to-month,Fiber optic,No,No,Electronic check,1,0
1069,37,16,50.3,Month-to-month,Fiber optic,No,Yes,Electronic check,1,1
4777,32,17,38.24,One year,DSL,No,No,Credit card,2,1
3646,29,56,39.95,Month-to-month,Fiber optic,No,Yes,Bank transfer,5,1
1892,49,22,49.88,Month-to-month,DSL,No,Yes,Electronic check,2,0
322,65,33,64.96,Month-to-month,DSL,No,No,Electronic check,2,1
1296,63,23,130.97,Month-to-month,No,Yes,No,Credit card,2,1
1625,24,10,55.22,One year,Fiber optic,No,Yes,Credit card,3,1
2790,38,39,122.23,Two year,Fiber optic,No,Yes,Bank transfer,2,1
3689,23,43,44.28,One year,Fiber optic,No,Yes,Bank transfer,2,1
3190,47,48,47.29,Month-to-month,Fiber optic,Yes,No,Credit card,2,1
542,36,48,114.86,Two year,DSL,No,No,Bank transfer,0,0
2195,47,2,21.21,Two year,Fiber optic,Yes,No,Bank transfer,2,1
1991,34,6,102.45,One year,Fiber optic,No,No,Credit card,3,1
473,52,37,79.32,Month-to-month,Fiber optic,Yes,No,Bank transfer,5,1
3544,50,19,104.07,Two year,Fiber optic,Yes,No,Electronic check,2,0
2897,22,53,130.89,Month-to-month,DSL,No,Yes,Electronic check,2,1
2480,28,43,39.78,Two year,Fiber optic,No,No,Electronic check,2,1
2168,49,21,49.44,Month-to-month,DSL,Yes,No,Bank transfer,1,0
1832,23,27,73.23,One year,Fiber optic,Yes,No,Credit card,0,1
1560,69,57,57.87,Month-to-month,DSL,No,No,Electronic check,4,1
3698,66,52,75.36,Month-to-month,Fiber optic,No,No,Bank transfer,1,1
976,69,7,75.17,Month-to-month,Fiber optic,No,No,Credit card,2,1
3543,68,34,78.55,One year,Fiber optic,No,No,Bank transfer,1,1
625,42,13,126.08,Month-to-month,Fiber optic,No,Yes,Electronic check,1,0
3856,57,29,78.83,One year,Fiber optic,No,Yes,Credit card,1,1
4495,47,41,101.06,Month-to-month,Fiber optic,Yes,Yes,Electronic check,1,1
3873,37,65,118.52,One year,DSL,No,Yes,Credit card,0,0
1519,44,45,85.57,One year,DSL,Yes,Yes,Bank transfer,1,1
2582,54,32,130.08,Month-to-month,DSL,No,Yes,Bank transfer,3,1
3927,21,70,149.81,Month-to-month,Fiber optic,No,No,Electronic check,1,0
1662,57,2,109.3,Two year,No,No,No,Electronic check,5,1
887,35,8,28.33,Month-to-month,DSL,No,No,Electronic check,2,1
2769,60,59,112.21,Month-to-month,Fiber optic,No,Yes,Electronic check,3,1
2540,50,71,99.6,Month-to-month,Fiber optic,No,Yes,Electronic check,1,1
2240,58,59,119.89,One year,Fiber optic,No,Yes,Bank transfer,0,0
3897,21,21,49.11,Month-to-month,Fiber optic,Yes,No,Bank transfer,2,1
3002,29,43,132.51,Month-to-month,DSL,No,No,Bank transfer,5,1
1630,39,4,45.98,Two year,Fiber optic,No,Yes,Bank transfer,5,1
272,69,6,142.27,Two year,Fiber optic,Yes,Yes,Credit card,2,1
3070,51,2,86.47,Month-to-month,DSL,No,No,Electronic check,4,0
2298,61,30,112.33,One year,No,No,Yes,Credit card,4,0
3273,24,45,46.22,Month-to-month,Fiber optic,No,No,Bank transfer,4,1
232,40,36,124.43,Two year,DSL,No,No,Bank transfer,1,1
3420,54,31,41.56,Month-to-month,Fiber optic,No,No,Credit card,0,1
203,44,16,59.34,Month-to-month,DSL,No,No,Bank transfer,2,0
2022,25,38,135.83,Two year,Fiber optic,No,Yes,Electronic check,0,1
623,30,59,76.71,One year,DSL,Yes,No,Electronic check,0,0
1918,64,21,83.31,Month-to-month,Fiber optic,No,Yes,Credit card,0,1
3644,57,56,103.21,One year,No,No,Yes,Electronic check,2,1
85,25,55,83.52,Month-to-month,Fiber optic,No,Yes,Bank transfer,1,1
4181,45,1,45.03,Month-to-month,Fiber optic,No,No,Bank transfer,4,1
110,41,52,117.93,Month-to-month,Fiber optic,Yes,Yes,Electronic check,2,1
481,36,64,127.41,Month-to-month,Fiber optic,No,Yes,Electronic check,0,0
2508,26,19,73.28,Two year,Fiber optic,Yes,No,Credit card,1,1
1727,21,21,106.28,Month-to-month,DSL,No,Yes,Electronic check,0,1
4873,29,1,121.53,Month-to-month,Fiber optic,No,No,Bank transfer,3,1
4580,54,19,140.01,One year,DSL,No,No,Bank transfer,1,0
182,23,26,75.19,Two year,DSL,Yes,Yes,Bank transfer,1,0
4170,49,21,72.36,Two year,DSL,No,Yes,Bank transfer,1,0
822,58,72,122.68,Two year,Fiber optic,Yes,No,Electronic check,2,1
4600,37,18,104.3,One year,Fiber optic,No,Yes,Electronic check,1,1
4348,52,49,84.9,Two year,No,No,No,Credit card,1,0
2058,27,26,25.71,Month-to-month,Fiber optic,No,Yes,Electronic check,5,1
3077,44,30,99.92,Two year,Fiber optic,No,No,Bank transfer,0,0
3172,44,48,45.4,One year,Fiber optic,No,Yes,Credit card,0,1
4421,21,18,134.11,Month-to-month,Fiber optic,No,No,Electronic check,0,0
1755,20,37,54.47,Month-to-month,Fiber optic,No,Yes,Electronic check,2,1
2842,35,46,146.83,Month-to-month,Fiber optic,No,No,Bank transfer,5,1
2987,69,59,143.9,Two year,Fiber optic,No,Yes,Electronic check,2,1
4235,68,19,58.49,Month-to-month,Fiber optic,No,No,Credit card,1,1
618,40,72,82.52,Month-to-month,Fiber optic,No,Yes,Electronic check,1,1
1719,65,24,125.39,One year,No,No,Yes,Credit card,4,1
1025,64,34,71.11,Month-to-month,DSL,Yes,Yes,Electronic check,0,0
3249,23,3,42.54,Month-to-month,Fiber optic,Yes,No,Credit card,1,1
1085,62,2,107.65,Month-to-month,No,No,No,Credit card,1,1
4494,20,10,46.89,One year,Fiber optic,No,Yes,Electronic check,0,1
4384,50,15,51.03,One year,DSL,No,Yes,Credit card,2,0
2395,66,35,142.02,Month-to-month,DSL,Yes,No,Electronic check,2,1
559,67,71,124.15,One year,Fiber optic,No,Yes,Bank transfer,2,0
4942,56,23,28.34,Month-to-month,Fiber optic,No,No,Electronic check,1,1
1113,40,47,40.25,Month-to-month,Fiber optic,No,Yes,Bank transfer,2,1
1974,18,67,71.41,Month-to-month,Fiber optic,No,No,Credit card,2,1
3292,38,25,135.69,Month-to-month,Fiber optic,No,No,Credit card,3,1
1292,63,7,95.95,Two year,Fiber optic,No,No,Credit card,1,1
2577,56,47,135.79,Month-to-month,No,No,No,Bank transfer,7,1
3617,29,9,128.52,One year,Fiber optic,No,No,Electronic check,2,0
1963,45,55,57.47,Two year,No,No,No,Electronic check,1,1
84,32,1,117.59,One year,No,Yes,Yes,Bank transfer,0,1
1162,42,18,85.42,Month-to-month,No,No,No,Electronic check,4,1
335,50,50,27.03,One year,DSL,No,Yes,Credit card,2,0
4825,36,7,26.52,Month-to-month,DSL,Yes,No,Electronic check,3,1
4900,40,60,20.79,Month-to-month,DSL,No,Yes,Bank transfer,1,0
2048,34,29,71.6,One year,DSL,No,No,Electronic check,2,1
3535,29,67,149.5,One year,No,No,No,Electronic check,1,1
1016,30,2,136.66,Month-to-month,Fiber optic,No,No,Electronic check,1,1
1612,42,42,98.64,One year,DSL,Yes,No,Bank transfer,1,1
2325,67,32,57.19,Month-to-month,Fiber optic,No,No,Bank transfer,1,1
3668,39,17,25.72,Month-to-month,No,Yes,Yes,Electronic check,4,1
1265,42,64,46.4,Two year,Fiber optic,No,No,Electronic check,2,0
188,47,49,125.32,Month-to-month,Fiber optic,Yes,Yes,Electronic check,1,1
3216,67,60,73.02,Month-to-month,DSL,No,Yes,Bank transfer,2,0
1938,63,16,124.56,Month-to-month,No,No,No,Electronic check,0,1
897,32,30,105.02,Two year,No,No,No,Credit card,0,1
4573,59,56,122.56,Month-to-month,No,No,No,Credit card,2,1
1737,30,1,113.8,One year,Fiber optic,No,No,Electronic check,3,1
590,43,57,28.26,Two year,Fiber optic,No,Yes,Electronic check,5,1
1134,22,27,38.7,Month-to-month,Fiber optic,Yes,Yes,Credit card,2,0
3706,66,16,113.32,Month-to-month,DSL,No,Yes,Electronic check,1,0
3109,43,5,69.71,One year,Fiber optic,No,Yes,Bank transfer,3,1
2975,27,44,89.44,Month-to-month,DSL,No,Yes,Bank transfer,4,1
494,51,52,146.5,Two year,Fiber optic,No,No,Credit card,5,1
880,68,62,60.2,One year,Fiber optic,No,No,Electronic check,2,1
4242,68,13,95.26,One year,Fiber optic,No,Yes,Electronic check,2,1
